study_hours,sleep_hours,screen_time_hours,mood,days_to_goal
1.1,5.1,5.6,very_low,326
1.3,5.5,6.1,very_low,322
1.0,5.1,5.6,very_low,336
0.7,5.2,6.0,very_low,352
1.0,5.5,6.1,very_low,328
1.6,5.6,5.8,very_low,307
1.7,5.4,5.6,very_low,302
1.7,5.6,6.2,very_low,327
1.5,5.8,5.8,very_low,316
1.8,5.6,6.2,very_low,321
1.7,5.2,5.7,very_low,312
1.2,5.3,5.6,very_low,322
1.8,5.5,5.9,very_low,307
1.5,5.9,6.1,very_low,323
1.5,5.7,5.7,very_low,311
2.2,5.7,6.0,very_low,307
2.1,5.8,5.7,very_low,285
1.7,5.4,5.7,very_low,325
2.3,5.5,6.1,very_low,303
2.3,5.6,5.7,very_low,288
2.1,5.5,6.0,very_low,318
2.0,5.4,6.3,very_low,320
1.7,5.3,5.5,very_low,314
2.4,5.6,5.5,very_low,284
2.6,5.7,6.2,very_low,305
1.7,5.8,5.9,very_low,313
2.0,5.8,5.4,very_low,291
2.2,6.0,6.0,very_low,291
2.3,5.5,6.0,very_low,312
2.1,5.8,5.7,very_low,288
2.5,5.8,5.8,very_low,289
1.9,5.6,5.1,very_low,302
2.7,6.0,5.3,very_low,257
2.7,6.1,5.1,very_low,261
2.0,5.9,5.6,very_low,286
2.4,5.8,5.1,very_low,284
2.3,5.6,5.3,very_low,291
2.1,5.7,5.6,very_low,299
2.3,5.8,4.8,very_low,264
2.3,5.9,4.9,very_low,265
2.0,5.9,4.8,very_low,287
2.7,5.5,4.8,very_low,269
2.2,5.6,5.3,very_low,290
2.4,6.0,5.1,very_low,264
2.0,5.8,4.7,very_low,276
2.6,6.0,5.1,very_low,256
2.3,5.7,5.0,very_low,271
2.1,5.8,4.6,very_low,266
2.2,6.2,4.5,very_low,269
2.4,5.6,4.9,very_low,282
2.8,6.2,4.8,very_low,242
2.4,5.7,4.3,very_low,248
2.3,6.2,4.2,very_low,257
2.3,5.9,4.7,very_low,279
2.4,6.1,4.0,very_low,240
2.8,6.0,4.3,very_low,249
1.9,6.0,4.2,very_low,273
2.0,6.3,3.8,very_low,242
2.4,6.1,3.9,very_low,234
2.6,5.8,4.2,very_low,252
2.2,6.0,4.1,very_low,265
2.0,6.1,3.9,very_low,252
2.4,5.8,3.9,very_low,254
1.9,5.9,4.4,very_low,283
1.9,5.8,3.8,very_low,271
2.6,6.3,3.9,very_low,226
2.5,6.1,4.1,very_low,256
2.4,5.7,4.3,very_low,254
2.4,6.3,3.7,very_low,227
1.9,6.0,3.8,very_low,259
2.4,5.8,4.1,very_low,247
2.2,6.3,4.3,very_low,244
2.2,5.9,3.6,very_low,254
2.3,5.9,4.2,very_low,257
2.2,5.7,3.7,very_low,261
2.6,6.1,4.3,very_low,248
1.9,5.8,3.9,very_low,272
2.5,6.3,4.4,very_low,241
2.0,5.8,4.3,very_low,277
2.2,6.2,3.8,very_low,256
2.6,6.4,4.4,very_low,253
1.9,6.2,4.0,very_low,267
2.6,6.3,4.4,very_low,240
2.6,5.8,4.5,very_low,265
2.1,6.3,4.2,very_low,250
2.6,5.9,3.8,very_low,232
2.2,6.4,4.6,very_low,253
2.6,6.0,4.6,very_low,256
2.9,5.8,4.6,very_low,242
2.9,6.0,4.0,very_low,232
2.7,6.0,4.4,very_low,248
2.5,6.2,4.1,very_low,248
2.1,6.4,4.3,very_low,260
2.8,6.3,4.2,very_low,225
2.8,6.0,4.2,very_low,249
2.9,6.0,4.2,very_low,236
2.7,6.0,4.0,very_low,237
3.2,6.3,4.6,very_low,236
2.7,6.2,3.9,very_low,228
2.8,6.2,4.4,very_low,241
2.9,6.0,4.3,very_low,250
3.2,6.0,3.9,low,214
3.1,6.1,4.5,very_low,243
3.2,6.0,4.0,low,204
2.9,6.2,4.5,very_low,231
3.1,6.3,3.9,low,216
3.2,6.0,4.3,very_low,220
3.5,6.4,3.8,low,195
3.1,6.6,4.1,low,199
3.2,6.5,4.0,low,214
3.6,6.6,4.1,low,207
3.9,6.3,4.1,steady,183
3.9,6.3,4.2,low,201
3.6,6.1,3.7,low,201
3.9,6.3,3.9,steady,174
3.4,6.1,3.6,low,197
3.8,6.0,3.5,steady,185
4.0,6.0,3.6,steady,178
3.8,6.1,3.5,steady,189
4.0,6.4,3.8,steady,180
3.9,6.0,3.4,steady,182
4.4,6.6,3.4,focused,149
4.2,6.4,3.1,focused,140
4.1,6.0,3.2,steady,172
4.1,6.1,3.2,focused,147
4.4,6.0,3.1,focused,149
3.9,6.5,2.8,focused,147
4.0,6.3,2.9,focused,146
4.7,6.3,3.2,strong,138
4.2,6.1,2.6,focused,144
5.0,6.3,3.0,great,120
4.7,6.6,3.2,strong,118
4.2,6.2,2.5,focused,144
4.7,6.2,2.9,strong,133
4.4,6.5,2.9,focused,127
5.0,6.8,2.4,great,84
4.6,6.6,3.0,strong,121
5.0,6.1,2.8,great,117
4.4,6.6,2.8,strong,127
4.5,6.8,2.8,strong,115
4.8,6.4,2.5,great,103
5.2,6.7,2.2,great,101
5.0,6.7,2.6,great,98
5.1,6.8,2.2,great,97
5.0,6.5,2.4,great,106
4.8,6.8,2.7,great,94
5.3,6.3,2.4,great,101
4.9,6.2,2.7,great,104
4.7,6.8,2.2,great,106
5.2,6.4,2.0,great,102
4.7,6.7,2.4,great,108
5.2,6.7,2.4,great,100
4.7,6.4,2.5,great,104
5.1,6.6,2.4,great,95
5.3,6.5,2.5,great,91
4.8,6.3,2.1,great,93
5.1,6.8,2.1,great,81
5.0,6.8,2.8,great,102
4.8,6.4,2.2,great,96
4.7,6.3,2.5,great,105
5.5,6.7,2.6,great,82
5.4,6.7,2.8,great,98
5.0,6.6,2.2,great,84
5.4,6.7,2.8,great,94
4.6,6.8,2.2,great,90
5.1,6.6,2.9,great,96
5.2,6.8,2.8,great,91
5.0,6.7,2.5,great,107
5.4,6.6,2.7,great,99
5.2,7.1,2.4,great,80
5.1,6.5,2.4,great,88
4.5,6.8,2.7,great,104
4.7,7.0,2.8,great,102
5.1,7.1,2.9,great,100
5.1,7.1,2.6,great,93
5.0,7.1,2.9,great,89
4.6,6.7,2.9,strong,122
4.7,6.6,2.8,great,115
5.3,6.9,2.7,great,83
4.5,6.9,2.5,great,98
4.5,7.2,2.9,great,109
5.3,7.3,2.8,great,84
4.4,7.1,2.6,great,109
5.2,6.7,2.7,great,101
4.8,6.7,2.5,great,98
5.0,7.2,2.4,great,94
4.7,7.3,2.8,great,102
4.8,6.9,2.4,great,108
4.8,7.0,2.9,great,107
4.9,7.0,2.2,great,87
5.1,7.1,2.6,great,85
4.9,7.4,2.3,great,93
4.6,7.4,2.4,great,89
4.6,7.1,2.3,great,86
5.4,7.4,2.2,great,68
5.2,7.1,2.4,great,87
4.8,7.4,2.5,great,87
5.0,7.1,2.4,great,91
5.4,7.4,1.9,great,79
5.0,7.5,2.0,great,88
4.9,7.1,2.0,great,98
5.1,7.0,1.9,great,78
